"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"C.J. Uzomah","NYJ","TE45","0.0","0.5","0.0","20.2","203.9","1.5","0.0","29.5"
"Marquise Goodwin","CLE","WR121","1.5","7.9","0.0","14.9","206.3","1.3","0.0","29.5"
"Ke'Shawn Vaughn","NE","RB90","45.7","184.4","1.2","6.4","38.3","0.2","0.6","29.4"
"Will Dissly","SEA","TE46","0.0","0.6","0.0","21.4","216.3","1.2","0.1","29.1"
"Robert Tonyan","CHI","TE47","0.0","0.3","0.0","18.6","200.2","1.4","0.0","28.7"
"Jonnu Smith","ATL","TE48","0.0","5.9","0.0","18.9","207.2","1.2","0.0","28.5"
"Mo Alie-Cox","IND","TE49","0.0","0.5","0.0","16.6","195.9","1.5","0.4","28.1"
"Ameer Abdullah","LV","RB91","26.2","90.4","0.4","18.8","131.4","0.6","0.1","27.9"
"Zach Pascal","ARI","WR122","0.1","1.1","0.0","20.9","215.5","1.1","0.1","27.9"
"Chris Rodriguez Jr.","WAS","RB92","35.4","155.0","0.9","10.0","60.9","0.2","0.2","27.7"
"Deven Thompkins","TB","WR123","0.2","9.5","0.1","19.4","210.6","0.9","0.1","27.7"
"Cedric Tillman","CLE","WR124","0.4","5.5","0.0","14.4","216.1","0.8","0.1","27.1"
"Brenton Strange","JAC","TE50","0.0","1.4","0.0","20.4","191.9","1.3","0.3","26.4"
"Jordan Akins","CLE","TE51","0.0","0.9","0.0","15.6","191.1","1.2","0.1","26.3"
"Chris Evans","CIN","RB93","31.3","118.2","0.5","10.8","86.3","0.5","0.2","26.2"
"Owen Wright","BAL","RB94","0.0","145.0","1.1","6.5","41.2","0.2","0.2","25.9"
"Charlie Jones","CIN","WR125","0.7","4.6","0.0","15.8","200.6","1.0","0.5","25.7"
